=======[thaumcraft]=======
WARP | thaumcraft | Warp, Flux and all things bad | 1 | [None] | [None]
GOLEMIRON | thaumcraft | Iron Golems | 2 | [GOLEMSTONE] | [None]
CORELIQUID | thaumcraft | Golem Core: Decanting | 2 | [COREFILL] | [None]
COREEMPTY | thaumcraft | Golem Core: Empty | 2 | [COREGATHER] | [None]
UPGRADEORDER | thaumcraft | Golem Upgrade: Order | 1 | [GOLEMBELL] | [None]

=======[thaumcraft]=======
ELDRITCHMAJOR | thaumcraft | Eldritch Revelation | 1 | [ELDRITCHMINOR, CRIMSON] | [None]
ADVALCHEMYFURNACE | thaumcraft | Advanced Alchemical Furnace  | 1 | [PRIMPEARL, DISTILESSENTIA, VISPOWER] | [None]
ARMORVOIDFORTRESS | thaumcraft | Void Thaumaturge Robes | 3 | [VOIDMETAL, ENCHFABRIC, ELDRITCHMAJOR] | [None]
ENTEROUTER | thaumcraft | The Outer Lands  | 1 | [OCULUS] | [None]
FOCUSPRIMAL | thaumcraft | Wand Focus: Primal | 2 | [ELDRITCHMINOR] | [None]
ELDRITCHMINOR | thaumcraft | Eldritch Epiphany | 3 | [RESEARCHER2] | [RESEARCHER1, INFUSION]
ESSENTIARESERVOIR | thaumcraft | Advanced Essentia Storage  | 2 | [VOIDMETAL, CENTRIFUGE, INFUSION] | [None]
SANITYCHECK | thaumcraft | Sanity Check | 1 | [ELDRITCHMINOR] | [None]
ROD_primal_staff | thaumcraft | Staff Core of the Primal | 3 | [FOCUSPRIMAL] | [ROD_silverwood_staff, ROD_bone_staff, ROD_greatwood_staff, ROD_blaze_staff, ROD_reed_staff, ROD_obsidian_staff, ROD_quartz_staff, ROD_ice_staff]
OCULUS | thaumcraft | Opening the Eye | 1 | [CRIMSON, ELDRITCHMAJOR] | [None]
OUTERREV | thaumcraft | Revelations in the Outer Lands  | 1 | [ENTEROUTER] | [None]
PRIMALCRUSHER | thaumcraft | Primal Crusher  | 2 | [PRIMPEARL] | [VOIDMETAL, ELEMENTALPICK, ELEMENTALSHOVEL]
PRIMPEARL | thaumcraft | Primordial Pearl  | 1 | [ELDRITCHMINOR] | [None]
PRIMNODE | thaumcraft | Primordial Node Manipulation  | 1 | [PRIMPEARL] | [None]
CAP_void | thaumcraft | Void metal Wand Caps | 3 | [CAP_thaumium, VOIDMETAL] | [None]
VOIDMETAL | thaumcraft | Void metal | 2 | [THAUMIUM, ELDRITCHMINOR] | [None]

=======[thaumicadditions]=======
VISCONDENSATOR | thaumicadditions | Making vis from air! | 1 | [ENCHANTEDWOOD] | [None]
ARCANESEAL | thaumicadditions | Arcane Seal | 2 | [None] | [None]
INFUSER | thaumicadditions | Infuser | 2 | [None] | [None]
ADAMINITESWORD | thaumicadditions | Adaminite Sword | 3 | [ADAMINITECRAFTING] | [None]
SAXUM | thaumicadditions | Aspect: Saxum | 1 | [None] | [None]
TAINTEDSEEDS | thaumicadditions | Tainted Crops | 1 | [None] | [None]
WANDFOCUSXP | thaumicadditions | Let me have all the levels! | 1 | [None] | [None]
SEALSYMBOLLER | thaumicadditions | Seal Symboller | 2 | [SEALSYMBOLING] | [None]
ROD_ADAMINITEWOOD_staff | thaumicadditions | Adaminite Staff | 2 | [None] | [ROD_ADAMINITEWOOD, SCEPTRE]
ARCANEDICE | thaumicadditions | Arcane random. | 1 | [None] | [MITHRILLIUMCRAFTING, PRIMPEARL]
SINGULARITY | thaumicadditions | Singularity | 2 | [SINGULARITYCORE] | [None]
INFUSERDARK | thaumicadditions | Dark Infuser | 2 | [INFUSER] | [None]
SEALSYMBOLING | thaumicadditions | Seal Symbol | 2 | [ARCANESEAL] | [None]
ADAMINITEARMOR | thaumicadditions | Adaminite Armoury | 2 | [ADAMINITECRAFTING] | [None]
VISTRANSPORTEVOLVED | thaumicadditions | Vis transport evolved! | 1 | [ENCHANTEDWOOD] | [None]
SINGULARITYCORE | thaumicadditions | Black Hole Core | 2 | [MITHRILLIUMCRAFTING] | [None]
ENCHANTEDWOOD | thaumicadditions | Enchanting wood! | 1 | [None] | [None]
ROD_ADAMINITEWOOD | thaumicadditions | Adaminite Rod | 2 | [ADAMINITECRAFTING] | [None]
ARCANETRANSPORTER | thaumicadditions | Thaumic transporter | 1 | [THAUMIUM] | [None]
CAP_ADAMINITE | thaumicadditions | Adaminite Cap | 2 | [ADAMINITECRAFTING] | [None]
WANDFOCUSPROJECTILE | thaumicadditions | Shooting with nothing! | 1 | [None] | [None]
ADAMINITECRAFTING | thaumicadditions | Adaminite Crafting | 3 | [THAUMIUM] | [None]
CAP_MITHRILLIUM | thaumicadditions | Mithrillium Cap | 2 | [MITHRILLIUMCRAFTING] | [None]
MITHRILLIUMCRAFTING | thaumicadditions | Mithrillium Crafting | 2 | [THAUMIUM] | [None]
INFUSION_ACTIVATOR | thaumicadditions | Infusion matrix activation | 1 | [INFUSION] | [None]
GRANUM | thaumicadditions | Aspect: Granum | 1 | [None] | [None]
TRANSMUTATIONSTONEARCANE | thaumicadditions | Magic Transmutation | 3 | [None] | [MITHRILLIUMCRAFTING]

=======[ttinkerer]=======
FOCUS_SHADOWBEAM | ttinkerer | Wand Focus: Shadowbeam | 3 | [ROD_ICHORCLOTH] | [RESEARCHDUPE, KNOWFRAG, RESEARCHER2, NODEJAR, RESEARCHER1, NODETAPPER2, DECONSTRUCTOR, NODETAPPER1, THAUMONOMICON, NODEPRESERVE, NODESTABILIZER, WANDPEDFOC, VAMPBAT, ROD_bone, FOCUSEXCAVATION, SCEPTRE, ROD_quartz_staff, VISCHARGERELAY, ROD_ice, NODESTABILIZERADV, ROD_reed, ROD_greatwood_staff, ROD_silverwood_staff, FOCUSFROST, VISAMULET, FOCALMANIPULATION, FOCUSFIRE, CAP_gold, ROD_silverwood, VISPOWER, FOCUSPOUCH, CAP_copper, ROD_reed_staff, FOCUSSHOCK, CAP_silver, ROD_quartz, FOCUSWARDING, ROD_obsidian, FOCUSPORTABLEHOLE, CAP_thaumium, ROD_greatwood, ROD_blaze, ROD_bone_staff, ROD_obsidian_staff, FOCUSTRADE, ROD_ice_staff, WANDPED, ROD_blaze_staff, ALUMENTUM, ENTROPICPROCESSING, TRANSIRON, THAUMATORIUM, ALCHEMICALMANUFACTURE, TUBES, TRANSTIN, SANESOAP, TALLOW, PURESILVER, PURETIN, TRANSCOPPER, ESSENTIACRYSTAL, ARCANESPA, CENTRIFUGE, TRANSSILVER, PUREIRON, ALCHEMICALDUPLICATION, JARVOID, NITOR, PUREGOLD, DISTILESSENTIA, TUBEFILTER, PURELEAD, TRANSLEAD, TRANSGOLD, PURECOPPER, JARLABEL, RUNICEMERGENCY, GOGGLES, ELEMENTALPICK, ELEMENTALAXE, INFERNALFURNACE, ELEMENTALSHOVEL, LEVITATOR, WARDEDARCANA, FLUXSCRUB, BOOTSTRAVELLER, RESTABLE, MIRRORESSENTIA, PRIMALARROW, ARCANEEAR, RUNICCHARGED, RUNICHEALING, HOVERHARNESS, MASKGRINNINGDEVIL, ELEMENTALHOE, MIRRORHAND, ARCTABLE, INFUSION, RUNICKINETIC, PAVEWARD, MASKANGRYGHOST, MASKSIPPINGFIEND, ARCANELAMP, BELLOWS, HELMGOGGLES, RUNICARMOR, RUNICAUGMENTATION, SINSTONE, ELEMENTALSWORD, PAVETRAVEL, ARCANEBORE, INFUSIONENCHANTMENT, GOLEMCLAY, UPGRADEWATER, GOLEMTALLOW, GOLEMWOOD, GOLEMFLESH, UPGRADEEARTH, UPGRADEFIRE, UPGRADEENTROPY, COREUSE, TRAVELTRUNK, GOLEMBELL, CORESORTING, GOLEMTHAUMIUM, CORELUMBER, UPGRADEAIR, COREFISHING, COREGATHER, COREHARVEST, COREBUTCHER, COREGUARD, ADVANCEDGOLEM, COREFILL, GOLEMFETTER, GOLEMSTRAW, COREALCHEMY, GOLEMSTONE, GOLEMIRON, CORELIQUID, COREEMPTY, UPGRADEORDER, TTENCH_VAMPIRISM, TTENCH_VALIANCE, TTENCH_SHOCKWAVE, TTENCH_FINAL, TTENCH_ASCENT_BOOST, TTENCH_DISPERSED, TTENCH_SLOW_FALL, TTENCH_FOCUSED, TTENCH_SHATTER, TTENCH_QUICK_DRAW, TTENCH_POUNCE, TTENCH_DESINTEGRATE, INFUSED_POTIONS, TTENCH_AUTO_SMELT, TTENCH_TUNNEL]
